# CEH v12 Module 01: Introduction to Ethical Hacking
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What is the primary purpose of ethical hacking?|To exploit vulnerabilities for financial gain|To identify and document security weaknesses in systems with permission|To create malware and attack tools|To bypass all security controls for testing|1|Ethical hacking involves identifying and documenting security weaknesses in systems with explicit permission from the system owner. The goal is to improve security, not to cause harm.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which of the following best describes a "white hat" hacker?|A hacker who works without authorization|An ethical hacker who operates with explicit permission and follows legal guidelines|A hacker who sells vulnerabilities on the black market|A script kiddie using pre-made tools|1|White hat hackers are ethical hackers who operate with explicit permission, follow legal guidelines, and work to improve security rather than exploit it for malicious purposes.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the first phase in the CEH ethical hacking methodology?|Scanning|Gaining Access|Reconnaissance (Footprinting)|Maintaining Access|2|Reconnaissance, also known as footprinting, is the first phase where the ethical hacker gathers information about the target system or network before attempting any active engagement.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which document provides legal authorization for an ethical hacker to perform testing?|Non-disclosure agreement|Statement of work or penetration testing agreement|Get-out-of-jail-free card|Service level agreement|1|A statement of work (SOW) or penetration testing agreement provides legal authorization and defines the scope, limitations, and rules of engagement for ethical hacking activities.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is the difference between vulnerability assessment and penetration testing?|There is no difference between them|Vulnerability assessment identifies weaknesses; penetration testing actively exploits them|Penetration testing only uses automated tools|Vulnerability assessment is always more comprehensive than penetration testing|1|Vulnerability assessment focuses on identifying and documenting security weaknesses, while penetration testing goes further by actively attempting to exploit those vulnerabilities to demonstrate their impact.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which law in the United States makes unauthorized computer access a federal crime?|HIPAA (Health Insurance Portability and Accountability Act)|GDPR (General Data Protection Regulation)|Computer Fraud and Abuse Act (CFAA)|Sarbanes-Oxley Act (SOX)|2|The Computer Fraud and Abuse Act (CFAA) makes unauthorized access to computer systems a federal crime in the United States. It's critical for ethical hackers to have proper authorization.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What are the five phases of the CEH ethical hacking methodology?|Plan, Scan, Attack, Report, Clean|Reconnaissance, Scanning, Gaining Access, Maintaining Access, Covering Tracks|Identify, Protect, Detect, Respond, Recover|Preparation, Identification, Containment, Eradication, Recovery|1|The CEH methodology consists of five phases: Reconnaissance (footprinting), Scanning, Gaining Access, Maintaining Access, and Covering Tracks. This structured approach ensures comprehensive security testing.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which type of hacker is motivated primarily by curiosity and learning, operating in a gray area?|Black hat|White hat|Gray hat|Blue hat|2|Gray hat hackers operate in a gray area between white hat and black hat. They may find vulnerabilities without permission but typically disclose them to the owner rather than exploiting them maliciously.|01. Introduction to Ethical Hacking|1.1 Fundamentals
What is a "bug bounty program"?|A government initiative to catch hackers|A program where organizations reward security researchers for finding and reporting vulnerabilities|A malware distribution network|An antivirus software subscription service|1|Bug bounty programs allow organizations to crowdsource security testing by rewarding researchers who find and responsibly disclose vulnerabilities. Examples include programs run by Google, Microsoft, and HackerOne.|01. Introduction to Ethical Hacking|1.1 Fundamentals
Which of the following is NOT typically included in a penetration testing scope document?|Target IP addresses and domains|Testing timeframes and schedules|Personal social media accounts of all employees|Types of tests to be performed (network, web app, etc.)|2|Personal social media accounts of employees are generally not included in scope unless specifically authorized. Penetration testing scope should be clearly defined and limited to authorized targets.|01. Introduction to Ethical Hacking|1.1 Fundamentals
