# Module 02: Footprinting and Reconnaissance
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What is the primary objective of footprinting in the reconnaissance phase?|To exploit vulnerabilities immediately|To determine the size and scope of the target's attack surface|To install backdoors on target systems|To perform denial of service attacks|1|Footprinting aims to gather information about the target's size, scope, network blocks, hosts, locations, and people to understand the attack surface before proceeding to other phases. It's about mapping the target's footprint, not exploiting it.|02. Footprinting and Reconnaissance|2.1 Fundamentals

Which type of reconnaissance involves interacting directly with the target system?|Passive reconnaissance|Open source intelligence (OSINT)|Active reconnaissance|Competitive intelligence|2|Active reconnaissance involves direct interaction with target systems (port scanning, DNS queries, network probing), while passive reconnaissance relies on gathering information without direct interaction using publicly available sources.|02. Footprinting and Reconnaissance|2.1 Fundamentals

Which organization is responsible for managing IP addresses, ports, and protocol numbers on the Internet?|ICANN (Internet Corporation for Assigned Names and Numbers)|IANA (Internet Assigned Numbers Authority)|ARIN (American Registry for Internet Numbers)|IEEE (Institute of Electrical and Electronics Engineers)|1|IANA (Internet Assigned Numbers Authority), which operates under ICANN, is responsible for managing IP addresses, port assignments, protocol numbers, and other essential Internet numbering resources.|02. Footprinting and Reconnaissance|2.1 Fundamentals

What is the purpose of the EDGAR database maintained by the SEC?|To store domain registration information|To track network vulnerabilities|To store public company financial filings and reports|To maintain DNS records|2|EDGAR (Electronic Data Gathering, Analysis, and Retrieval) is the SEC's system for storing public company filings including 10-K annual reports, 10-Q quarterly reports, and Schedule 14A proxy statements that contain organizational and governance information.|02. Footprinting and Reconnaissance|2.1 OSINT

Which SEC form (Schedule 14A) contains the most useful information for reconnaissance including board members and corporate governance?|10-K Annual Report|10-Q Quarterly Report|Proxy Statement to Shareholders|11-K Employee Stock Plan Report|2|Schedule 14A is the proxy statement that includes the annual report to shareholders, corporate governance details, board of directors information, and audit committee matters - highly valuable for organizational reconnaissance.|02. Footprinting and Reconnaissance|2.1 OSINT

What command-line tool is used to query domain registrar information on Unix-like systems?|nslookup|whois|dig|traceroute|1|The whois command is used to query domain registrars and RIRs (Regional Internet Registries) for information about domain ownership, registration dates, name servers, and contact details.|02. Footprinting and Reconnaissance|2.1 WHOIS

What is the main reason companies are increasingly hiding registration information behind domain registrars?|To comply with GDPR regulations|To prevent data mining and reduce exposure to social engineering|To avoid paying taxes|To hide illegal activities|1|Companies hide registration information to prevent attackers from mining public registrar databases for addresses, phone numbers, and contact names that could be used for social engineering attacks and targeted reconnaissance.|02. Footprinting and Reconnaissance|2.1 WHOIS

Which Google dork operator restricts search results to a specific domain?|inurl:|site:|filetype:|intitle:|1|The site: operator (e.g., site:example.com) restricts Google search results to pages within a specific domain, useful for finding publicly exposed information on a target's website.|02. Footprinting and Reconnaissance|2.1 Search Engines

What Google dork operator would you use to find PDF documents on a target website?|filetype:pdf|ext:pdf|type:pdf|format:pdf|0|The filetype: operator (e.g., filetype:pdf site:example.com) searches for specific file types. Both filetype: and ext: work, but filetype: is the standard Google dork syntax.|02. Footprinting and Reconnaissance|2.1 Search Engines

Which Google dork would help find exposed directory listings?|intitle:"index of"|inurl:admin|filetype:conf|cache:|0|The query intitle:"index of" finds pages with directory listings that may expose sensitive files, backup archives, configuration files, or database dumps unintentionally left accessible.|02. Footprinting and Reconnaissance|2.1 Search Engines

What is the primary purpose of the tool theHarvester?|Port scanning|Email address and subdomain enumeration|Vulnerability scanning|Password cracking|1|theHarvester is an OSINT tool for gathering email addresses, subdomains, hosts, employee names, open ports, and banners from public sources like search engines, PGP key servers, and Shodan.|02. Footprinting and Reconnaissance|2.1 Tools

Which tool is described as a fully passive reconnaissance tool that doesn't interact with target systems?|Nmap|Maltego|Nikto|Metasploit|1|Maltego is a passive OSINT tool that visualizes relationships between people, companies, domains, and infrastructure using transforms to query public databases without directly touching target systems.|02. Footprinting and Reconnaissance|2.1 Tools

What type of information does Shodan specialize in discovering?|Employee email addresses|Internet-connected devices and services|Social media profiles|Financial records|1|Shodan is a search engine for Internet-connected devices, indexing open ports, services, banners, industrial control systems, webcams, routers, and IoT devices. It's often called "the search engine for hackers."|02. Footprinting and Reconnaissance|2.1 Tools

Which DNS record type is used for mail server information?|A record|CNAME record|MX record|NS record|2|MX (Mail Exchange) records specify the mail servers responsible for accepting email for a domain and their priority, useful for identifying mail infrastructure during reconnaissance.|02. Footprinting and Reconnaissance|2.1 DNS

What does a DNS zone transfer allow an attacker to obtain?|Only the IP address of the web server|Complete list of all DNS records for a domain|Only MX records|Only NS records|1|A successful DNS zone transfer (AXFR query) provides a complete copy of all DNS records in a zone, including subdomains, internal hosts, mail servers, and other infrastructure details - a significant information disclosure.|02. Footprinting and Reconnaissance|2.1 DNS

Which command-line tool is specifically designed for DNS queries and troubleshooting?|ping|tracert|dig|netstat|2|dig (Domain Information Groper) is a powerful DNS lookup tool that can query specific record types (A, MX, NS, TXT, AXFR), show detailed responses, and troubleshoot DNS issues.|02. Footprinting and Reconnaissance|2.1 DNS

What DNS record type is used to verify domain ownership and can contain SPF, DKIM, and other text data?|A record|TXT record|SOA record|PTR record|1|TXT records store text information including SPF (Sender Policy Framework), DKIM (DomainKeys Identified Mail), DMARC policies, domain verification tokens, and other metadata that can reveal security configurations.|02. Footprinting and Reconnaissance|2.1 DNS

Which Nmap switch performs a DNS resolution without port scanning?|nmap -sL|nmap -sn|nmap -sP|nmap -O|0|The -sL (List Scan) switch performs reverse DNS lookups on IP addresses without sending any packets to the targets, making it useful for passive reconnaissance of IP ranges.|02. Footprinting and Reconnaissance|2.1 DNS

What is the primary purpose of Netcraft in reconnaissance?|Password cracking|Gathering web technology and hosting history information|SQL injection testing|Wireless network scanning|1|Netcraft provides extensive information about websites including hosting history, web server software, CMS platforms, SSL/TLS certificates, technology stack, uptime statistics, and DNS records over time.|02. Footprinting and Reconnaissance|2.1 Web Footprinting

What information can be extracted from metadata in documents found on a target's website?|IP addresses of internal servers|Usernames, software versions, and file paths|Database credentials|Encryption keys|1|Document metadata (in PDF, DOCX, XLSX files) often contains usernames, software versions, internal file paths, printer names, editing history, and timestamps that reveal information about the target's environment.|02. Footprinting and Reconnaissance|2.1 Web Footprinting

