# Module 03: Scanning Networks
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What is the primary purpose of port scanning during a penetration test?|To install malware on target systems|To identify open ports and services running on target hosts|To crack passwords on discovered services|To perform denial of service attacks|1|Port scanning identifies open ports and the services/applications listening on those ports. This information is used to discover potential attack vectors, identify vulnerable services, and map the target's network infrastructure.|03. Scanning Networks|3.1 Fundamentals

Which layer of the OSI model do TCP and UDP ports operate at?|Application Layer|Presentation Layer|Transport Layer|Network Layer|2|Ports are a Transport Layer (Layer 4) construct. TCP and UDP both operate at the Transport Layer and use 16-bit port numbers (0-65535) to multiplex connections and identify services.|03. Scanning Networks|3.1 Fundamentals

How many possible port numbers exist for TCP and UDP?|1024|32768|65536|128000|2|Port numbers are 16-bit values, providing 2^16 = 65,536 possible ports (numbered 0-65535). Ports 0-1023 are well-known ports, 1024-49151 are registered ports, and 49152-65535 are dynamic/private ports.|03. Scanning Networks|3.1 Fundamentals

What is the purpose of a ping sweep before conducting a port scan?|To exploit vulnerabilities|To identify live hosts before spending time scanning|To install backdoors|To crack encryption|1|A ping sweep identifies which hosts are alive and responsive on a network before port scanning. This saves time by avoiding port scans of non-responsive systems and provides an overview of active hosts in the target range.|03. Scanning Networks|3.1 Ping Sweeps

Which ICMP message type is used in a standard ping?|ICMP Echo Request (Type 8)|ICMP Destination Unreachable (Type 3)|ICMP Redirect (Type 5)|ICMP Time Exceeded (Type 11)|0|A ping uses ICMP Echo Request (Type 8) messages. The responding system sends back an ICMP Echo Reply (Type 0) if it's alive and ICMP is not blocked by firewalls.|03. Scanning Networks|3.1 Ping Sweeps

Which tool is specifically designed for efficient ping sweeps of multiple hosts?|Wireshark|fping|Metasploit|John the Ripper|1|fping is optimized for pinging multiple hosts in parallel, making it much faster than standard ping for sweeping network ranges. It can process entire subnets efficiently and show elapsed round-trip times.|03. Scanning Networks|3.1 Tools

What fping parameter shows only hosts that are alive during a ping sweep?|fping -d|fping -a|fping -s|fping -v|1|The -a parameter in fping displays only alive/responsive hosts. Combined with -g (generate target list) and -e (show elapsed time), it provides a concise view of active systems: fping -aeg 192.168.1.0/24|03. Scanning Networks|3.1 Tools

Why might a ping sweep produce false negatives (showing hosts as down when they're actually up)?|DNS misconfiguration|Firewall blocking ICMP traffic|Incorrect subnet mask|Weak passwords|1|Host-based and network-based firewalls commonly block ICMP Echo Request messages as a security measure. A blocked ICMP request means no response is received, falsely indicating the host is down when it may actually be operational.|03. Scanning Networks|3.1 Ping Sweeps

What is the default number of ports that nmap scans if no port specification is provided?|100 ports|1000 ports|10000 ports|All 65536 ports|1|By default, nmap scans the 1,000 most commonly used ports to balance thoroughness with speed. These ports are statistically most likely to have listening services. You can override this with -p to scan specific ports or --top-ports N.|03. Scanning Networks|3.1 Nmap

Which nmap scan type is also called a "half-open scan"?|TCP Connect scan (-sT)|SYN scan (-sS)|UDP scan (-sU)|Xmas scan (-sX)|1|The SYN scan (-sS) is called "half-open" because it doesn't complete the TCP three-way handshake. It sends SYN, receives SYN/ACK for open ports, then sends RST instead of ACK, leaving connections half-open and potentially avoiding logging.|03. Scanning Networks|3.1 Nmap

What response does a closed TCP port send when it receives a SYN packet?|SYN/ACK|RST (Reset)|FIN|ACK|1|A closed port responds to a SYN with a RST (Reset) packet, immediately terminating the connection attempt. This is defined behavior in TCP/IP that allows scanners to definitively identify closed ports.|03. Scanning Networks|3.1 TCP Scanning

Which nmap scan completes the full TCP three-way handshake?|SYN scan (-sS)|Connect scan (-sT)|FIN scan (-sF)|Null scan (-sN)|1|The TCP Connect scan (-sT) completes the full three-way handshake (SYN, SYN/ACK, ACK) by using the operating system's connect() system call. It's more reliable but also more likely to be logged by target systems.|03. Scanning Networks|3.1 Nmap

Why does the SYN scan require root/administrative privileges?|To access encrypted traffic|To create raw packets that bypass normal OS network stack|To modify system files|To decrypt SSL/TLS|1|The SYN scan requires root privileges because it creates raw packets from scratch, bypassing the OS's normal TCP/IP stack. This allows sending a SYN followed by RST without completing the connection, which normal socket APIs don't support.|03. Scanning Networks|3.1 Nmap

Which TCP flags are set in an nmap Xmas scan (-sX)?|SYN, ACK, RST|FIN, PSH, URG|SYN only|No flags (Null scan)|1|An Xmas scan sets FIN, PSH, and URG flags simultaneously, making the packet "light up like a Christmas tree" in protocol analyzers. This unusual combination can bypass some firewalls and elicit different responses than standard scans.|03. Scanning Networks|3.1 TCP Scanning

What result does nmap typically show for open ports when running an Xmas scan?|open|closed|open|filtered|filtered|2|Xmas scans show "open|filtered" for open ports because open ports don't respond to illegal flag combinations (per RFC 793). Without a response, nmap cannot distinguish between an open port (silent) and a filtered port (blocked by firewall).|03. Scanning Networks|3.1 TCP Scanning

Which nmap scan sends packets with no TCP flags set?|Xmas scan (-sX)|Null scan (-sN)|FIN scan (-sF)|ACK scan (-sA)|1|The Null scan (-sN) sends TCP packets with no flags set at all. Like Xmas and FIN scans, closed ports respond with RST, while open ports remain silent, resulting in "open|filtered" status.|03. Scanning Networks|3.1 TCP Scanning

