# Module 04: Enumeration
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What is the primary purpose of enumeration in penetration testing?|To exploit vulnerabilities immediately|To extract detailed information from identified services (users, shares, configurations)|To perform denial of service attacks|To crack passwords|1|Enumeration extracts detailed information from discovered services, including usernames, group names, network shares, system configurations, and security policies. It builds upon scanning to gather actionable intelligence for later attack stages.|04. Enumeration|4.1 Fundamentals

Which nmap switch performs service version detection and enumeration?|nmap -sV|nmap -O|nmap -sS|nmap -A|0|The -sV switch enables version detection by connecting to services and analyzing banners and responses to identify specific application names and versions (e.g., "OpenSSH 7.7p1" instead of just "ssh").|04. Enumeration|4.1 Service Detection

What protocol is used by Windows systems for file and resource sharing?|NFS (Network File System)|SMB (Server Message Block)|FTP (File Transfer Protocol)|TFTP (Trivial File Transfer Protocol)|1|SMB (Server Message Block) is the Windows protocol for file sharing, printer sharing, and remote administration. It operates over ports 445 (direct) and 139 (NetBIOS). Modern versions use SMB2/SMB3.|04. Enumeration|4.1 SMB

Which TCP port is used for SMB direct hosting (without NetBIOS)?|Port 139|Port 445|Port 135|Port 137|1|Port 445 is used for SMB direct hosting over TCP/IP (SMB over TCP). Port 139 is used for SMB over NetBIOS. Modern Windows systems prefer port 445 for direct SMB communication.|04. Enumeration|4.1 SMB

What is NetBIOS primarily used for in Windows networks?|Web browsing|Name resolution and network resource discovery|Email transmission|Database queries|1|NetBIOS (Network Basic Input/Output System) provides name resolution services, session services, and datagram distribution in Windows networks. It allows systems to discover and communicate with each other using friendly names instead of IP addresses.|04. Enumeration|4.1 NetBIOS

Which three ports are associated with NetBIOS services?|135, 139, 445|137, 138, 139|80, 443, 8080|20, 21, 22|1|NetBIOS uses: UDP 137 (Name Service - NBNS), UDP 138 (Datagram Service), and TCP 139 (Session Service). These ports enable name resolution, broadcast messages, and session-based communication respectively.|04. Enumeration|4.1 NetBIOS

Which tool is specifically designed for enumerating Windows systems including SMB shares and users?|nmap|enum4linux|Metasploit|Wireshark|1|enum4linux is a Linux-based enumeration tool that wraps around smbclient, rpcclient, net, and nmblookup to extract information from Windows systems including users, shares, groups, password policies, and domain information.|04. Enumeration|4.1 Tools

