# Domain 2.0 - Threats, Vulnerabilities, and Mitigations
# Subdomain 2.1 - Threat Actors and Motivations
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

Which threat actor is typically motivated by financial gain through cybercrime?|Hacktivist|Organized crime|Script kiddie|Insider threat|1|Organized crime groups are primarily motivated by financial gain through activities like ransomware, banking trojans, credit card theft, and cryptocurrency fraud. Hacktivists pursue political/social causes, script kiddies seek recognition, and insider threats have various motivations.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

What is the primary motivation of a hacktivist?|Financial gain|Political or social causes|Nation-state interests|Personal vendetta|1|Hacktivists are motivated by political or social causes and use hacking to promote their agenda, raise awareness, or protest against organizations. Financial gain motivates cybercriminals, nation-state interests drive APTs, and personal vendettas are individual motivations.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

Which threat actor typically has the most resources and sophistication?|Script kiddie|Nation-state actor|Hacktivist|Lone wolf hacker|1|Nation-state actors (Advanced Persistent Threats/APTs) typically have the most resources, sophistication, time, and expertise. They are government-sponsored and have access to zero-day exploits, custom malware, and long-term operational capabilities. Script kiddies have minimal skills, hacktivists vary, and lone wolves have limited resources.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

What defines a script kiddie threat actor?|Highly skilled programmer|Uses pre-existing tools without deep technical knowledge|Works for government agencies|Motivated by ideological beliefs|1|Script kiddies are inexperienced attackers who use pre-existing tools, scripts, and exploits created by others without deep understanding of how they work. They typically lack programming skills and are often motivated by curiosity or desire for recognition.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

Which threat actor operates from within an organization and has legitimate access?|External attacker|Insider threat|Nation-state actor|Hacktivist|1|Insider threats are current or former employees, contractors, or business partners who have or had authorized access to an organization's systems. They can be malicious or unintentional and are particularly dangerous due to their legitimate access and knowledge of internal systems.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

What is the typical motivation of an Advanced Persistent Threat (APT)?|Quick financial gain|Long-term espionage or data theft|Gaining fame|Testing security systems|1|APTs, typically nation-state actors, are motivated by long-term espionage, intellectual property theft, or maintaining persistent access for strategic intelligence gathering. They focus on stealth and persistence rather than quick gains, fame, or testing.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

Which attribute describes a threat actor's level of funding and tools available?|Motivation|Internal/External|Resources/Funding|Intent|2|Resources and funding describe a threat actor's financial backing, access to tools, infrastructure, and personnel. Motivation describes why they attack, internal/external describes their position, and intent describes their goals.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

What is a key characteristic of a shadow IT threat?|Authorized by security team|Employees using unauthorized applications or services|External hackers targeting IT systems|Government surveillance programs|1|Shadow IT refers to employees using unauthorized hardware, software, cloud services, or applications without IT department approval or knowledge. This creates security risks through unmanaged and potentially vulnerable systems that bypass security controls.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

Which threat actor is most likely to use sophisticated, custom-developed malware?|Script kiddie|Nation-state actor|Unskilled attacker|Opportunistic hacker|1|Nation-state actors typically develop or purchase sophisticated, custom malware including zero-day exploits tailored to specific targets. Script kiddies use existing tools, unskilled attackers lack capability, and opportunistic hackers use readily available tools.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors

What does the sophistication level of a threat actor indicate?|Their physical location|Their level of technical skill and capability|Their budget size|Whether they work alone or in groups|1|Sophistication level indicates a threat actor's technical skill, capability, and ability to execute complex attacks. It encompasses programming ability, knowledge of vulnerabilities, custom tool development, and evasion techniques. It's distinct from location, budget (though related), or team size.|2.0 Threats, Vulnerabilities, and Mitigations|2.1 Threat Actors
