# Domain 5.0 - Security Program Management and Oversight
# Subdomain 5.1 - Governance and Compliance Elements
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

What is the primary purpose of security governance?|Write code|Establish framework for security decision-making and accountability|Install firewalls|Train end users only|1|Security governance establishes the framework, policies, and accountability structures for security decision-making aligned with business objectives. It's not about tactical activities like coding, firewall installation, or just training.|5.0 Security Program Management|5.1 Governance Elements

Which document defines an organization's overall security approach and principles?|Procedure|Standard|Security policy|Guideline|2|Security policies define high-level security approach, principles, and rules. Procedures provide step-by-step instructions, standards specify technical requirements, and guidelines provide recommendations.|5.0 Security Program Management|5.1 Governance Elements

What is the role of a security steering committee?|Install antivirus|Provide strategic security oversight and decision-making|Write firewall rules|Conduct penetration tests|1|Security steering committees provide strategic oversight, approve security initiatives, allocate resources, and make high-level security decisions aligning security with business goals. They don't handle tactical activities like antivirus installation, firewall rules, or pen tests.|5.0 Security Program Management|5.1 Governance Elements

Which regulatory framework focuses on protecting credit card data?|HIPAA|GDPR|PCI DSS|SOX|2|PCI DSS (Payment Card Industry Data Security Standard) specifically protects credit card data. HIPAA protects health information, GDPR protects EU personal data, and SOX addresses financial reporting.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of security awareness training?|Replace technical controls|Educate users about security risks and best practices|Eliminate all security risks|Install software|1|Security awareness training educates users about security risks, policies, and best practices to reduce human-related security incidents. It doesn't replace technical controls, eliminate all risks, or install software.|5.0 Security Program Management|5.1 Governance Elements

Which role is ultimately responsible for an organization's security?|IT manager|Chief Information Security Officer (CISO)|Security analyst|Executive leadership/Board|3|Executive leadership and the Board are ultimately responsible for organizational security as part of fiduciary duty. CISO manages security program, IT manager handles IT operations, and analysts perform tactical work, but ultimate accountability rests at top.|5.0 Security Program Management|5.1 Governance Elements

What is a standard operating procedure (SOP)?|High-level policy|Step-by-step instructions for specific tasks|General guideline|Security control|1|SOPs provide detailed, step-by-step instructions for performing specific tasks consistently and correctly. Policies are high-level, guidelines are recommendations, and controls are protective measures.|5.0 Security Program Management|5.1 Governance Elements

Which compliance framework is required for publicly traded companies in the US?|HIPAA|PCI DSS|SOX (Sarbanes-Oxley)|GDPR|2|SOX (Sarbanes-Oxley Act) requires publicly traded US companies to implement controls for financial reporting integrity. HIPAA is for healthcare, PCI DSS for payment cards, and GDPR for EU data protection.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of an Acceptable Use Policy (AUP)?|Define acceptable use of organizational IT resources|Install software|Configure firewalls|Conduct audits|0|AUPs define acceptable and prohibited uses of organizational IT resources, networks, and data, setting expectations for employee behavior. Installation, configuration, and audits are operational activities.|5.0 Security Program Management|5.1 Governance Elements

Which document provides recommended practices but isn't mandatory?|Policy|Standard|Procedure|Guideline|3|Guidelines provide recommended best practices and advice but aren't mandatory. Policies are mandatory rules, standards specify required technical settings, and procedures are required step-by-step instructions.|5.0 Security Program Management|5.1 Governance Elements

A company must comply with GDPR. What is the primary focus of this regulation?|Payment card security|Protection of EU residents' personal data|Healthcare information|Financial reporting|1|GDPR (General Data Protection Regulation) protects personal data and privacy of European Union residents, requiring consent, data protection, breach notification, and individual rights. PCI DSS protects payment cards, HIPAA protects health data, and SOX addresses financial reporting.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of role-based access control (RBAC) in governance?|Give everyone administrator access|Assign permissions based on job roles and least privilege|Eliminate all access controls|Slow down user productivity|1|RBAC assigns permissions based on job roles, implementing least privilege by granting only necessary access. It doesn't give excessive access, eliminate controls, or unnecessarily hinder productivity when properly designed.|5.0 Security Program Management|5.1 Governance Elements

Which governance principle requires that critical functions be divided among multiple people?|Least privilege|Separation of duties|Mandatory vacations|Job rotation|1|Separation of duties divides critical functions among multiple people to prevent fraud and errors, requiring collusion for malicious activity. Least privilege limits access, mandatory vacations and job rotation are detective controls.|5.0 Security Program Management|5.1 Governance Elements

A security policy states "All remote access must use multi-factor authentication." What policy type is this?|Guideline|Recommendation|Mandatory security requirement|Optional suggestion|2|This is a mandatory security requirement within a security policy. The word "must" indicates a required control, not a guideline, recommendation, or optional suggestion.|5.0 Security Program Management|5.1 Governance Elements

What is the primary purpose of security metrics and KPIs?|Punish employees|Measure security program effectiveness and support decision-making|Replace security controls|Eliminate governance|1|Security metrics and KPIs measure security program effectiveness, track improvements, identify gaps, and support data-driven decision-making. They're not for punishment, don't replace controls, and support governance.|5.0 Security Program Management|5.1 Governance Elements

Which regulation requires healthcare organizations to protect patient health information?|GDPR|PCI DSS|HIPAA|SOX|2|HIPAA (Health Insurance Portability and Accountability Act) requires healthcare organizations and their business associates to protect patient health information (PHI). GDPR is for EU data, PCI DSS for payment cards, and SOX for financial reporting.|5.0 Security Program Management|5.1 Governance Elements

What is the purpose of an information security program?|Install firewalls only|Comprehensive framework managing all security activities aligned with business|Write procedures only|Conduct audits only|1|An information security program is a comprehensive framework that manages all security activities (policies, controls, training, incident response) aligned with business objectives and risk tolerance. Single activities are components, not the entire program.|5.0 Security Program Management|5.1 Governance Elements

Which governance document specifies technical configuration requirements?|Policy|Standard|Guideline|Business plan|1|Standards specify required technical configurations (encryption algorithms, password complexity, patch timelines). Policies are high-level rules, guidelines are recommendations, and business plans address business strategy.|5.0 Security Program Management|5.1 Governance Elements

