# Domain 5.0 - Security Program Management and Oversight
# Subdomain 5.3 - Third-Party Risk and Compliance
# Format: question|answer_a|answer_b|answer_c|answer_d|correct_idx|explanation|domain|subdomain

Why is third-party risk management important?|Third parties never pose risks|Vendors and partners can introduce security vulnerabilities|It's not important|Only for large organizations|1|Third parties (vendors, suppliers, partners) can introduce security vulnerabilities through access to systems, data, or supply chains. Organizations remain responsible for data even when third parties process it. All organizations face third-party risks.|5.0 Security Program Management|5.3 Third-Party Risk

What should organizations require vendors to demonstrate before granting access?|Nothing|Security compliance and controls appropriate to access level|Only a business license|Personal references|1|Organizations should require vendors to demonstrate appropriate security controls, compliance with standards, and security practices commensurate with their level of access and data handling. Business licenses alone don't address security.|5.0 Security Program Management|5.3 Third-Party Risk

Which agreement defines security and performance requirements for vendors?|NDA only|Service Level Agreement (SLA)|Verbal agreement|Handshake deal|1|SLAs (Service Level Agreements) define performance metrics, security requirements, responsibilities, and remedies for service providers. NDAs protect confidentiality but don't cover service requirements. Verbal and handshake agreements lack enforceability.|5.0 Security Program Management|5.3 Third-Party Risk

What is supply chain risk?|Risk from internal employees only|Risk from compromised components, vendors, or partners in supply chain|Risk from customers|No actual risk|1|Supply chain risk involves threats from compromised hardware, software, or services from vendors and partners. Attackers target supply chains to reach multiple organizations. Internal employees and customers are separate risk categories.|5.0 Security Program Management|5.3 Third-Party Risk

Which document protects confidential information shared with third parties?|SLA|NDA (Non-Disclosure Agreement)|MOU|Invoice|1|NDAs (Non-Disclosure Agreements) legally protect confidential information shared with third parties by prohibiting unauthorized disclosure. SLAs define service levels, MOUs express intent, and invoices request payment.|5.0 Security Program Management|5.3 Third-Party Risk

What should organizations conduct to assess vendor security practices?|Nothing|Security audits and assessments|Financial audits only|Marketing reviews|1|Organizations should conduct security audits and assessments of vendors to verify their security practices, controls, and compliance. Financial audits address finances but not security, and marketing reviews are irrelevant to security.|5.0 Security Program Management|5.3 Third-Party Risk

Which principle states organizations are responsible for data even when third parties process it?|Data negligence|Data accountability|Data avoidance|Data ignorance|1|Data accountability means organizations remain responsible and liable for data protection even when third parties process or store it. Organizations can't outsource accountability. Negligence is failure, avoidance eliminates activity, and ignorance isn't a principle.|5.0 Security Program Management|5.3 Third-Party Risk

What is vendor lock-in risk?|No risk exists|Difficulty migrating away from vendor due to proprietary systems or data formats|Vendors are too cheap|Vendors work too well|1|Vendor lock-in risk involves difficulty or high cost migrating to different vendors due to proprietary technologies, data formats, or integration dependencies. This reduces flexibility and negotiating power.|5.0 Security Program Management|5.3 Third-Party Risk

Which security practice should be required when vendors access organizational systems?|No authentication|Multi-factor authentication and least privilege access|Administrator access for everyone|No monitoring|1|Vendors accessing organizational systems should use MFA and least privilege access appropriate to their needs, with activity monitoring. Universal administrator access and no authentication/monitoring create excessive risk.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of right-to-audit clauses in vendor contracts?|Prevent all audits|Allow organization to audit vendor security practices and compliance|Eliminate vendor responsibilities|Avoid all oversight|1|Right-to-audit clauses allow organizations to audit or assess vendor security practices, controls, and compliance with contract requirements. This provides oversight and verification. Preventing audits eliminates accountability.|5.0 Security Program Management|5.3 Third-Party Risk

A cloud provider experiences a data breach exposing customer data. Who is ultimately responsible?|Only the cloud provider|The customer organization—data accountability cannot be outsourced|No one|The end users|1|The customer organization remains ultimately responsible and accountable for data protection even when using third-party services. Accountability and legal liability cannot be fully outsourced, though providers share responsibility.|5.0 Security Program Management|5.3 Third-Party Risk

Which security control should be implemented when vendors require VPN access to internal systems?|No access control|Dedicated VPN with limited network segmentation and monitoring|Full network access|Physical access only|1|Vendors should connect via dedicated VPN with access limited to only necessary systems (network segmentation) and comprehensive activity monitoring. Full network access violates least privilege.|5.0 Security Program Management|5.3 Third-Party Risk

What is the purpose of vendor security questionnaires?|Waste time|Assess vendor security practices, controls, and compliance before engagement|Avoid due diligence|Replace all assessments|1|Vendor security questionnaires assess security practices, controls, certifications, and compliance posture before contracting. This supports informed risk decisions. Avoiding due diligence increases risk, and questionnaires complement not replace all assessments.|5.0 Security Program Management|5.3 Third-Party Risk

A software vendor refuses to provide source code for security review. What compensating control is most appropriate?|Accept without review|Third-party security assessment or certification (SOC 2, ISO 27001)|No control needed|Block all vendors|1|When source code review isn't possible, third-party security assessments or certifications provide independent verification of security practices. Accepting without review is risky, some control is needed, and blocking all vendors is impractical.|5.0 Security Program Management|5.3 Third-Party Risk

Which supply chain attack vector involves compromising software updates?|Physical tampering|Malicious updates pushed through legitimate update mechanisms|Phishing|Shoulder surfing|1|Supply chain attacks can compromise software update mechanisms, distributing malware through trusted update channels (e.g., SolarWinds). Physical tampering, phishing, and shoulder surfing are different attack vectors.|5.0 Security Program Management|5.3 Third-Party Risk

